209669359;5;3;
209671026;5;13;
209671575;5;2;
209672590;5;3;
209678673;5;19;
209679631;5;2;
209680640;5;3;
209687772;5;14;
209688608;5;2;
209689623;5;3;
209696706;5;19;
209697688;5;2;
209698703;5;3;
209705221;5;14;
209705886;5;2;
209706902;5;3;
209669359;4;3;
209671575;4;14;
209672125;4;2;
209673131;4;3;
209677722;4;18;
209678673;4;2;
209679674;4;3;
209686942;4;13;
209687772;4;2;
209688788;4;3;
209695720;4;18;
209696706;4;2;
209697720;4;3;
209704569;4;13;
209705221;4;2;
209706237;4;3;
209669359;3;3;
209669924;3;11;
209670475;3;2;
209671491;3;3;
209674724;3;16;
209675675;3;2;
209676688;3;3;
209682390;3;11;
209683225;3;2;
209684239;3;3;
209691256;3;16;
209692239;3;2;
209693255;3;3;
209700304;3;11;
209700971;3;2;
209701987;3;3;
209708419;3;16;
209669359;2;3;
209669359;2;10;
209669924;2;2;
209670927;2;3;
209673225;2;15;
209674175;2;2;
209675190;2;3;
209680590;2;10;
209681425;2;2;
209682440;2;3;
209689441;2;15;
209690421;2;2;
209691423;2;3;
209698671;2;10;
209699322;2;2;
209700335;2;3;
209706537;2;15;
209707754;2;2;
209708758;2;3;
209669359;1;3;
209670475;1;12;
209671026;1;2;
209672040;1;3;
209676224;1;17;
209677175;1;2;
209678190;1;3;
209684190;1;12;
209685023;1;2;
209686023;1;3;
209693072;1;17;
209694055;1;2;
209695058;1;3;
209701952;1;12;
209702605;1;2;
209703617;1;3;
209669359;10;3;
209675675;10;13;
209676224;10;2;
209677228;10;3;
209685023;10;18;
209685987;10;2;
209686990;10;3;
209694055;10;13;
209694890;10;2;
209695905;10;3;
209702605;10;18;
209703587;10;2;
209704603;10;3;
209669359;9;3;
209677175;9;14;
209677722;9;2;
209678723;9;3;
209685987;9;19;
209686942;9;2;
209687955;9;3;
209694890;9;14;
209695720;9;2;
209696721;9;3;
209703587;9;19;
209704569;9;2;
209705587;9;3;
209709368;9;13;
209669359;8;3;
209672125;8;10;
209672675;8;2;
209673689;8;3;
209679631;8;15;
209680590;8;2;
209681591;8;3;
209688608;8;10;
209689441;8;2;
209690455;8;3;
209697688;8;15;
209698671;8;2;
209699681;8;3;
209705886;8;10;
209706537;8;2;
209707537;8;3;
209709388;8;13;
209669359;7;3;
209674175;7;12;
209674724;7;2;
209675725;7;3;
209683225;7;17;
209684190;7;2;
209685197;7;3;
209692239;7;12;
209693072;7;2;
209694088;7;3;
209700971;7;17;
209701952;7;2;
209702955;7;3;
209708710;7;12;
209709368;7;2;
209669359;6;3;
209672675;6;11;
209673225;6;2;
209674240;6;3;
209681425;6;16;
209682390;6;2;
209683392;6;3;
209690421;6;11;
209691256;6;2;
209692271;6;3;
209699322;6;16;
209700304;6;2;
209701319;6;3;
209707754;6;11;
209708419;6;2;
209709419;6;3;
